Wort,Anzahl
Kulturen,3
ergreifen,3
bestehender,3
wissenschaftlicher,3
hauptsächlich,3
Registrierung,3
Tieren,3
Bildungs,3
Eigentum,3
Förderungen,3
to,3
landwirtschaftliche,3
Pestizide,3
Männern,3
Stabilisierung,3
individuellen,3
gesund,3
Nahrungsmittel,3
ausgebaut,3
gesunde,3
Zulassungsverfahren,3
Gefahren,3
rechtsverbindliche,3
erzielen,3
Trotz,4
länger,3
Klimaanpassung,3
respektiert,3
erzeugte,3
Keime,3
Tiergesundheit,3
gesundheitlichen,3
Einschränkung,3
Reserveantibiotika,3
existenzielle,3
demografische,3
einklagbare,3
einbringen,3
Mindestlohnrichtlinie,3
spürbar,3
wirksames,3
wirkt,3
Absicherung,3
Mitbestimmung,3
Vertretung,3
Auszubildenden,3
psychischen,3
älterer,3
gelingen,3
koloniale,3
Kontinuitäten,3
einhergehen,3
vorzubeugen,3
EU-Richtlinie,3
Faktor,3
löst,3
Sicherungssysteme,3
übertragen,3
Grenzpendler*innen,3
Arbeitsausbeutung,3
Homeoffice,4
Entwicklungen,3
Egal,3
Unionsbürger*innen,3
Augen,3
Schulungen,3
untergebracht,3
Partnerinnen,3
gesunder,3
Mangel,3
Betreuung,3
Kindergarantie,3
eigenständige,3
destabilisieren,3
bereitgestellt,3
Erwachsene,3
vielerorts,3
steigende,3
Mieten,3
Mieter*innen,3
bezahlbaren,3
Immobilien,3
Güter,3
zuverlässige,3
Wissenstransfer,3
Wandels,3
ausgerichtete,3
entgegenwirken,3
Beratungen,3
Gesundheitsschutz,3
steigern,3
Projekten,4
mitdenken,3
Erfüllung,3
Leitlinien,4
multilaterale,3
Medikamenten,3
Jugendschutz,3
Behandlungsmethoden,3
hinwirken,3
leiden,3
gleichberechtigten,3
Selbstverständlichkeit,3
menschliche,3
psychische,3
menschenrechtsbasierte,3
Zwangsmaßnahmen,3
Politikfeldern,3
mitgedacht,3
medizinischer,3
Gesundheitswesen,3
persönlichen,3
grundlegend,3
strafrechtlich,3
WHO,4
Pflegefachpersonen,3
beruflichen,3
Überarbeitung,3
Zunahme,3
pflegende,3
Angehörige,3
UN-Behindertenrechtskonvention,3
Organisierte,3
Orten,3
Anwendungen,4
Studierendenausweis,3
Abschluss,3
anerkennen,3
mehrsprachige,3
versuchen,3
Zentrale,3
strukturell,3
Ergebnisse,3
Mitglieder,3
entdecken,3
diskriminiert,3
unzähligen,3
bedeuten,3
einheitlich,3
Reisenden,3
ukrainischen,3
Afrika,3
bewiesen,3
Hoffnung,3
behaupten,3
autokratische,3
wertegeleiteten,3
Forum,3
gerechter,3
Multilateralismus,3
Beziehung,3
teilnehmen,3
Industriestaaten,3
Klimaaußenpolitik,3
einnehmen,3
Privatwirtschaft,3
Bündnis,3
zivile,3
Putin,3
agieren,3
EU-Außenpolitik,3
Zustimmung,3
Abstimmung,3
Gemeinschaften,3
sozialökologische,3
politisches,3
Biodiversitätsabkommens,3
indigener,3
Völker,3
Sichtbarkeit,3
qualifizierter,3
beschließen,3
Afrikanischen,3
Bewegungen,3
Opfern,3
marginalisierte,3
Gefangenen,3
investigative,3
Hinweisgeber*innen,3
Pressefreiheit,3
Ungerechtigkeiten,3
Mehrfachdiskriminierungen,3
Gender,6
Bedarfe,3
finanzieller,3
zugunsten,3
strenger,3
Waffensystemen,3
durchgeführt,3
Regimen,3
Aggression,3
friedliche,3
EU-Mittel,3
Krisenprävention,3
of,3
humanitärer,3
kolonialen,3
Erbes,3
befinden,3
Indien,3
indigenen,3
Glaubwürdigkeit,3
Staatsanwaltschaft,3
Zivilgesellschaften,3
Bosnien,3
Herzegowina,3
Kosovo,3
rechtsstaatlicher,3
Aufarbeitung,3
Versuchen,3
entgegentreten,3
Integrität,3
einfordern,3
Landes,3
türkische,3
Vertragsverletzungsverfahren,3
Regimes,4
Rechenschaft,3
Armeniens,3
Aserbaidschan,3
Rückkehr,3
Weltkrieg,3
Deutschlands,3
Wertepartner,3
Tendenzen,3
entgegenzutreten,3
versucht,3
Kolonialismus,3
Existenz,3
Terror,5
Achtung,3
Global-Gateway-Initiative,3
gekennzeichnet,3
Japan,3
Handelsbeziehungen,3
Grenzregionen,3
Gruppierungen,3
Ermittlungen,3
Republik,3
binäre,3
Humanität,3
Grundrechtecharta,4
Grundrechte,3
transnationale,3
Prozessen,3
verbindlicher,3
Europäisches,3
Errungenschaften,3
Visier,3
drängen,3
Zugangs,3
verabschiedet,3
Menschenhandels,3
Zweck,3
Justizbehörden,3
dauerhafte,3
Täter*innen,3
besetzt,3
Zivilgesellschaftliche,3
Selbstvertretungsorganisationen,3
Minderheitenrechte,3
Amt,3
niedrigschwellige,3
entgegenstehen,3
Kultureinrichtungen,3
Struktur,3
vorzugehen,3
Nachrichten,4
Erinnerung,3
Unrecht,3
Grenzverfahren,3
Seenotrettung,3
polizeiliche,3
Finanzkriminalität,3
Cybercrime,3
Terrorismusfinanzierung,3
Hassrede,3
Wahl,2
Errungenschaft,2
trennten,2
Mauern,2
Bekenntnis,2
Freund*innen,2
voller,2
verankerte,2
erteilen,2
haltmachen,2
sehnen,2
Akteur,3
fairer,2
Durchsetzungskraft,2
mehrt,2
Verknüpfung,2
verwoben,2
Ruinen,2
Spannungen,2
anhand,2
vorangehen,2
Selbstzweck,2
Schienen,2
Krankenhäusern,2
auszahlen,2
indes,2
hält,2
dient,2
Gewinnung,2
Arbeitskräften,2
unsicheren,2
ankommt,2
Extremwetter,2
Hitzewellen,2
Artensterben,2
anpassen,2
Dörfer,2
All,2
bitten,2
Energiekrise,2
begegnet,2
Europäischer,2
vorankommen,2
unverhandelbar,2
reine,2
Kauf,2
erlebt,2
erkämpfen,2
bisweilen,2
menschengemacht,2
Größe,2
zusammenhält,2
BÜNDNIS,2
GRÜNEN,2
regional,2
verankerten,2
profitiert,2
Kilometer,2
ureigenen,2
richtige,2
Treibhausgase,2
Künstlicher,2
Frage,2
Wirtschaftspolitik,2
strategisch,2
Industriezweige,2
Lebensräumen,2
intakten,2
Handwerksbetriebe,2
Wirtschaftsraum,2
Arbeitsteilung,2
Geschlechtern,2
Wollen,2
Mut,2
strategischen,2
Autokratien,2
krisenfest,2
Wasserstoffkernnetz,2
Barcelona,2
günstige,2
Hause,2
einzuschränken,2
systemischer,2
Kostenvorteile,2
wesentlichen,2
Dauer,2
vorangeht,2
Steigerung,2
Solar,2
verlässlich,2
transportieren,2
stabiles,2
Industriesektoren,2
Kostenvorteilen,2
Refinanzierung,2
entkoppelt,2
rechtliche,2
begünstigt,2
bringt,2
unkompliziert,2
Innovationsförderung,2
Erdgas,2
kommenden,2
spätestens,2
kombiniert,2
Atomkraft,2
geeignet,2
teurer,2
Hitze,2
Kriegssituationen,2
teuer,2
unzählige,2
belasten,2
Atomenergie,2
einzustufen,2
EU-Mitteln,2
Entsorgung,2
Energietechnologien,2
wissenschaftlich,2
beschleunigte,2
Vergleich,2
einsparen,2
COGrenzausgleichsmechanismus,2
fallen,2
schnellerer,2
verdoppelt,2
CO-Fußabdruck,2
eingeschlagen,2
weitergehen,2
erreicht,2
ausgestalten,2
Klimaschutzmaßnahmen,2
Sektor,2
unternommen,2
Schwerpunkt,2
abbilden,2
Regelungsrahmen,2
Nutzungen,2
Schutzgebieten,2
schwieriger,2
Senkung,2
Atmosphäre,2
unumgänglich,2
erforschen,2
Intakte,2
Wasserkreisläufe,2
positiv,2
Humusaufbau,2
Holz,2
naturnaher,2
ökonomisch,2
umfassendes,2
Restoration,2
Law,2
technischer,2
Negativemissionen,2
Fällen,2
Option,2
stabilisierende,2
Klimaschutzverträgen,2
Wasserstoffinfrastruktur,2
verzahnen,2
Vielzahl,2
potenzieller,2
Wertschöpfungskette,3
Heizungen,2
Luftverkehr,2
heißen,2
schnellstmöglich,2
Österreich,2
Kopf,2
Erträge,2
Mitglied,2
Autos,3
Wohnungen,2
Anforderungen,2
günstig,2
befreien,2
Bezahlbarkeit,2
Hohe,2
energetische,2
Sanierung,2
kommunale,2
strengen,2
Häusern,2
Kaskadennutzung,2
effizienten,2
transparenten,2
geringen,2
Infrastrukturkosten,2
Flexibilisierung,2
Lastmanagement,2
günstigen,2
heben,2
günstigem,2
bewahrt,2
NGEU,4
Erstens,2
ausgebauten,2
Zweitens,2
Landschaft,2
Regulierungsrahmen,2
unfaire,2
verschaffen,2
aufbauend,2
abbaut,2
private,2
Windräder,2
erdacht,2
Mission,2
Standort,2
elementar,2
verlagern,2
ausgestattet,2
mobilisieren,2
Strukturpolitik,2
Preisen,2
geeigneten,2
Übergang,2
Aufträgen,2
Emissionsminderung,2
beiträgt,2
EU-Binnenmarkt,2
Wettbewerbsverzerrungen,2
Wettbewerbsrecht,4
EU-Wettbewerbsrecht,2
wiederbeleben,2
Binnenmarktes,2
dauerhaften,2
Beihilfeverfahren,2
Gelingen,2
zukunftsfeste,2
einzubringen,2
unfreiwillig,2
Vereinbarkeit,2
technischen,2
Betrieben,2
überwiegend,2
EU-Förderprogramme,2
gesetzlichen,2
Vorschriften,2
Beschäftigung,2
Krankenhaus,2
Anwerbung,2
akademische,2
ausgeweitet,2
Konditionen,2
vorliegt,2
Vorteil,2
Arbeitsmarkts,2
Herkunftsland,2
Auskommen,2
Tarifbindung,2
zusammenbringen,3
EU-Geldern,2
koppeln,2
vornehmen,2
europäi,2
Eigenmittel,2
Beiträge,2
Mehrjährigen,2
MFR,3
jetzigen,2
Bereiche,2
verwalten,2
Gemeinwohls,2
mehrheitlich,2
festlegen,2
Klimafinanzierung,2
Grundvoraussetzung,2
Architektur,2
Arbeitslosenrückversicherung,2
SURE,2
strukturelle,2
Finanzierungsbedingungen,2
Finanzsystem,2
widerstandsfähige,2
Jahrzehnt,2
geltenden,2
formuliert,2
gefährliche,2
Sicherungssystemen,2
Bank,2
Bargeld,2
barrierefreies,2
Greenwashing,2
Stresstests,2
Vollendung,2
Insolvenz,2
gerettet,2
komplexer,2
Zulieferer,2
lenken,2
Geldanlagen,2
Mainstream,2
angekommen,2
Finanzprodukte,2
Klarheit,2
Sparer*innen,2
Interessenkonflikte,2
Provisionen,2
teure,2
Superreiche,2
Gewinne,2
Niedrigsteuerländer,2
Steuerschlupflöcher,2
Briefkastenfirmen,2
zahlen,2
wirkungsvollen,2
Steuervermeidung,2
geschieht,2
strengere,2
Steuersatz,2
Liste,5
Aufdeckung,2
Quellensteuern,2
Gewinnverlagerung,2
International,2
Problem,2
Steuerwettbewerb,2
Digitalunternehmen,2
physischen,2
besteuert,2
Unternehmensbesteuerung,2
ge,2
Mindestbesteuerung,2
geeinigt,2
Besteuerung,2
vorschlagen,2
Steuerdumping,2
Meilenstein,2
Klausel,3
Stellung,2
Gemeinwesen,2
einzelner,2
qualifizierte,2
Perspektivisch,2
Überwindung,2
erzielten,2
gestiegene,2
Übergewinnsteuer,2
ökonomischen,2
technologischen,2
Forschungspolitik,2
Durchbrüche,2
chronischen,2
Krebs,2
erfolgreiches,2
Antragsteller*innen,2
beinhalten,2
Zentral,2
Klimaforschung,2
Council,2
festen,2
Wissenschaften,2
Berücksichtigung,2
gesellschaftlicher,2
multiplen,2
Südkaukasus,2
zugänglicher,2
Antragsverfahren,2
entbürokratisieren,2
einbinden,2
Fakten,2
anzugehen,2
schnelleren,2
Institute,2
Beantragung,2
Wissens,2
widmen,2
Master,2
Förderinstrumenten,2
Raumfahrt,2
Zuständigkeit,2
Champions,2
gerufen,2
innovativer,2
Innovationsfähigkeit,2
Verhältnis,2
anwenden,2
Anpassungen,2
Übergangsfristen,2
reduzierte,2
festgelegten,2
vereinheitlichen,2
erweisen,2
pragmatischen,2
Datenaustausch,2
liefert,2
Lebensbereiche,2
Wettstreit,2
rasante,2
mitzugestalten,2
sensibler,2
vermehrt,2
Halbleitern,2
Anbindung,2
Kritischen,2
Gesetzesvorhaben,2
Grenzausgleichsmechanismus,2
CBAM,5
riesige,2
verändern,2
Moderne,2
KI-gestützte,2
Wirtschaftlichkeit,2
reichen,2
Cyberattacken,2
Benachteiligung,2
autonomen,2
hinsichtlich,2
regulieren,2
betreiben,2
vernetzte,2
Geräte,2
Marktplätze,2
Innovationskraft,2
Energieinfrastruktur,2
KI-Modelle,2
personenbezogene,2
synthetischer,2
Regelung,3
unterschiedlich,2
Entbürokratisierung,2
Wirtschaftsbereiche,2
Werbung,2
DSGVO,3
Evaluation,2
Rechnung,2
automatisierten,2
besonderes,2
Investitionssicherheit,2
Services,2
Digitale-Märkte-Gesetz,2
Markets,2
erfolgreicher,2
Anwendungsfall,2
Erfahrung,3
Framework,2
fehlt,2
widerspiegeln,2
DSA,4
DMA,4
Grundsteine,2
wiederherzustellen,2
darstellen,2
Wissenschaftler*innen,2
Prüfstand,2
gewonnenen,2
angewendet,2
hierzu,2
gesperrt,2
Informationskompetenz,2
aussetzen,2
Kommunikationsplattformen,2
Verlassen,2
E-Auto,2
Straße,4
Dach,2
Volksrepublik,2
qualitativ,2
hochwertigen,2
basiert,2
Rohstoffaußenpolitik,2
partnerschaftlichen,2
Nachhaltigkeitsziele,3
Umweltschutz,2
wettbewerbsfähige,2
beginnt,2
Produzenten,2
günstiger,2
kaufen,2
Pflicht,2
Ersatzteilen,2
Haltbarkeit,2
Miet,2
Textilien,2
verlieren,2
vorschieben,2
Mehrweg,2
Recycling,3
heimische,2
Nachhaltigkeits,2
Menschenrechtsstandards,2
Erde,2
zirkuläre,2
Urban,2
einräumen,2
europaweites,2
Forschungsgelder,2
zielt,2
Rohstoffsektor,2
barrierefrei,2
komfortabel,2
bewegen,2
modernisieren,2
Schiffsverkehr,2
Verkehrsträger,2
Sustainable,2
Nachtzüge,2
Binnenschifffahrt,2
wettbewerbsfähiger,2
komfortable,2
Alternative,2
zügigen,2
industriepolitische,2
Fahrradwirtschaft,2
Instandhaltung,2
Flügen,2
Standard,2
anbieterübergreifenden,2
Ticketing-System,2
Buchungsplattformen,2
Fahrgastrechte,2
Deutschland-Ticket,2
etabliert,2
E-Fuels,2
mangelnder,2
Grünen,2
historischen,2
Ladeinfrastruktur,3
Verordnung,4
Kraftstoffe,2
Ladepunkte,2
Fernstraßen,2
errichtet,2
Kund*innen,2
Ertüchtigung,2
aufzustellen,2
Hersteller,2
Reifen,2
Bremsabrieb,2
Hafenstrategie,2
maritimen,2
Fluggesellschaften,2
Zero,2
Tempo,2
EU-weites,2
Grenzwerte,2
minimiert,2
Seen,2
Kulturlandschaften,2
prägt,2
erzielt,3
EU-Biodiversitätsstrategie,2
Zwischenziele,2
Netzwerks,2
vereinbart,2
Agrar,2
Subventionen,2
gentechnische,2
Methoden,2
Rechtsrahmen,2
Umweltverbrechen,2
Strafgerichtshofs,2
Wald,2
bedingen,2
intakte,2
wichtigste,2
effektiver,2
Umweltschäden,2
Tier,2
Million,2
essenziell,2
Waldbewirtschaftung,2
fortschreitenden,2
Abkehr,2
Erhaltung,2
verknüpfen,2
engem,2
multifunktionale,2
wiederherstellen,2
Montrealer,2
Weltnaturabkommen,2
Finanzmittel,2
verstärken,2
PFAS,3
umsetzt,2
Kosmetik,2
Sanktionsmöglichkeiten,2
Strategien,2
halbieren,2
internationales,2
Vorsorgeprinzip,2
nachweislich,2
Chemistry,2
Starkregenereignisse,2
Wasservorräte,2
verloren,2
trockenen,2
Sauberes,2
fließen,2
Schadstoffen,2
Grundwasser,2
Flüssen,2
steigert,2
bereiten,2
landwirtschaftlicher,2
Privatisierung,2
Mittelmeeranrainern,2
Gebieten,2
Bürgerinitiativen,2
kommerziellen,2
gefordert,2
Tierschutzstandards,2
tierischen,2
Tierversuchen,2
erstellen,2
Medizinprodukte,2
Arzneimittelentwicklung,2
Tierversuche,2
Produzent*innen,2
grundsätzliche,2
EU-Agrarpolitik,2
Düngung,2
extensive,2
Stufen,2
angeboten,2
Weidehaltung,2
ländlicher,2
Maschinen,2
Einzelhandel,2
Essen,2
regionaler,2
pflanzliche,2
werben,2
Vergaberechts,2
Gemeinschaftsverpflegung,2
ernähren,2
Stoffen,2
gentechnischen,2
erforscht,2
gentechnikfrei,2
Wahlfreiheit,2
Patente,2
Lebensmittelverschwendung,2
Angaben,2
liefern,2
Starkregen,2
rücken,2
Anbausysteme,2
Düngemitteln,2
höheres,2
Person,2
lohnt,2
ländliche,2
konventioneller,2
Züchtung,2
Dünger,2
Herstellern,2
Klimaschutzes,2
Agroforstsystemen,2
wiedervernässten,2
gespeichert,2
Haltungsformen,2
positiven,2
Effekte,2
realisiert,2
flächengebundene,2
landwirtschaftlichen,2
Erreger,2
schaden,2
Klimaschutzabkommen,2
Tötung,2
Stunden,3
Schlachtung,2
verboten,2
Antibiotikaeinsatz,2
kranke,2
multiresistenter,2
Bedrohungen,2
Humanmedizin,2
vorbehalten,2
hinnehmen,2
Höhe,2
angehoben,2
Wirtschaften,2
Einzelnen,2
Leistung,2
zeichnet,2
wohlhabenden,2
soziales,2
Verteidigung,2
globalisierten,2
behauptet,2
materielle,2
angelegt,2
Grundsätzen,2
Arbeitsund,2
institutionell,2
Landesgrenzen,2
Rumänien,2
bezahlter,2
intakter,2
Diskriminierungen,2
Mitsprache,2
mitgestalten,2
Reichweite,2
Tarifverträgen,2
Mindestlöhne,2
Mindestlohn,2
gesetzliche,2
Rentenalter,2
Betriebsräte,2
Betriebsräten,2
Unterstützungsangebote,2
gleichwertige,2
Vermittlung,2
flexibler,2
Veränderung,2
Geschäftsmodell,2
zusammenführen,2
Plattformunternehmen,2
Scheinselbstständigkeit,2
verbreitet,2
unzureichender,2
Faire,2
Arbeitsinspektionen,2
algorithmische,2
Wegfall,2
Künstlichen,2
Akzeptanz,2
vorbereiten,2
erworben,2
Sozialversicherungssystemen,2
Informationsaustausch,2
zuständigen,2
Ältere,3
mobile,2
Frankreich,2
Georgien,2
substanziellen,2
Aufrechterhaltung,2
Angelegenheiten,2
ELA,3
missbräuchliche,2
Arbeiter*innen,2
Verpflichtung,2
Unterbringung,2
Kind,2
Kinderarmut,2
europaweiten,2
betreffen,2
Besonderes,2
Kinderschutzes,2
Kinderrechte,2
Empfehlung,3
stufenweise,2
Schocks,2
Härten,2
überfordert,2
Kriseninstrument,2
Darlehen,2
schätzungsweise,2
stabilisiert,2
erlernen,2
gesicherte,2
Bestand,2
Verdrängung,2
begrenzen,2
behindertengerechten,2
erheblichen,2
treiben,2
schadet,2
Haushalten,2
gemeinwohlorientiert,2
Wohnungslosigkeit,2
Menschenwürde,2
Soziale,2
ausweiten,2
Attraktivität,2
ausreichende,2
Zusammenlebens,2
Bürgerinitiative,2
höchsten,2
Ausnahme,2
gelebt,2
Mitspracherecht,2
Städtepartnerschaften,2
Annäherung,2
Vordergrund,2
Auszahlung,2
Lebensverhältnisse,2
Perspektivlosigkeit,2
Kraftanstrengung,2
langfristiger,2
Weiterbildungen,2
Fördermöglichkeiten,2
entscheidet,2
älteren,2
durchführen,2
Raums,3
ausgerichteten,2
Vergaberecht,2
Öffentliche,2
Aufträge,2
Kommunikation,2
Anbieter,2
kennen,2
langjährige,2
Impfstoffen,2
ökonomische,2
ausüben,2
Gesundheitsforschung,2
stärksten,2
Pandemien,3
Gesundheitstechnologien,2
Erteilung,2
Welthandelsorganisation,2
Gesundheitspolitik,2
vorbeugen,2
bestmöglich,2
Glücksspiel,2
Krankheitsursachen,2
auftretenden,2
nötige,2
Aufmerksamkeit,2
Stigmatisierung,2
behandeln,2
vergleichbare,2
mentale,2
größeres,2
Hinsicht,2
Zahl,2
Umweltstandards,2
vorgelegt,2
Prioritäten,2
Rechenschaftspflichten,2
Preisgestaltung,2
gesundheitliche,2
Ärzt*innen,2
Gesundheitsdaten,2
Innovationspotenzial,2
Stellen,2
Verstöße,2
Wirksamkeit,2
Menschheit,2
alternativer,2
diskriminierungsfreies,2
bedarfsgerechte,2
Assistenz,3
behinderte,2
unverzichtbar,2
Anerkennungsverfahren,2
Studienabschlüsse,2
Pflegeeinrichtungen,2
Wohn,2
Pflegeformen,2
Lebensumfeld,2
Pflegekräfte,2
demografischen,2
Mehrzahl,2
Altersarmut,2
geraten,2
Drogenpolitik,2
repressive,2
Drogen,2
risikobasierten,2
Wechsel,2
gelungen,2
Hilfestrukturen,2
medizinischen,2
überwacht,2
Studiengängen,2
selten,2
studieren,2
Bachelor,2
mühsam,2
Fachkräftemangels,2
Heimatland,2
beantragen,2
elektronischen,2
Angriffen,2
Fake,2
News,2
operieren,2
unterminieren,2
Verschwörungsmythen,2
gründen,2
offenstehen,2
erklären,2
Medienkompetenz,2
Aussicht,2
Vereinigten,2
Brexit,2
Begriff,2
füreinander,2
Jugendverbände,2
reden,2
Wort,2
festgelegt,2
aufgewertet,2
Flüchtlingshilfe,2
Demokratieförderung,2
Elternhäusern,2
Vereine,2
Verbände,2
Senior*innen,2
DiscoverEU-Programm,2
praktisch,2
Zeitraum,2
höchste,2
ehrenamtlich,2
Alte,2
ausgegrenzt,2
Chancengleichheit,2
Rechtsschutz,2
Konsum,2
Roaming,2
Konsumgüter,2
verspricht,2
Endgeräte,2
Spektrum,2
Kleidung,2
verlängert,2
Updatezeiträume,2
Nanopartikel,2
weiten,9
Entkopplung,2
passenden,2
Games,2
grenzübergreifend,2
Entschädigung,2
Minuten,2
Flugreisen,2
Verschiebungen,2
zulasten,2
Erleichterung,2
Kündigung,2
Eingang,2
Verträgen,2
abgeschlossen,2
ordnungsgemäße,2
aufs,2
Friedensprojekt,2
Nachbarn,2
Asien,2
gleichwertigen,2
stabilisieren,2
schwierigen,2
Stimme,2
Unfreiheit,2
Einflussnahme,2
Bündnisses,2
Politikfelder,2
sitzen,2
friedlicher,2
äußersten,2
militärisch,2
militärischer,2
Verteidigungsfähigkeit,2
Deeskalation,2
Streben,2
beweist,2
entfalten,2
zusammenleben,2
ukrainische,2
Auswärtigen,2
auszubauen,2
Botschaften,3
kulturelle,2
knüpft,2
Anpassung,2
Quellen,3
verbindliches,2
ODA-Quote,2
Finanzinstitutionen,3
Weltbank,2
Entwicklungsbanken,2
Team-Europe-Ansatz,2
Allianzen,2
schmieden,2
Abkommens,2
geplante,2
zwingen,2
Heimat,2
Anpassungsmaßnahmen,2
Völkerrechts,2
Biodiversitätsverlust,2
Kunming-Montreal,2
Wahrung,2
biologische,2
einsetzt,2
Lebens,2
Verbindung,2
bilden,2
gleichberechtigter,2
produzierenden,2
entwicklungspolitische,2
Staatengemeinschaft,2
brutalen,2
Regionalorganisationen,2
multilateralen,2
gerechtere,2
Blockade,2
diplomatische,2
Demokratisierung,2
Reformprozess,2
UNHCR,3
Not,2
flexibel,2
Besetzung,2
Oppositionelle,2
verlangen,2
gewaltfreie,2
analogen,2
Schutzinstrumente,2
Aktivist*innen,2
verantwortlich,2
stillgelegte,2
Vermögenswerte,2
riskieren,2
geschlechtsspezifische,2
Verteidiger*innen,13
Auslandsvertretungen,2
beobachten,2
kanadischen,2
fortführen,2
anonyme,2
universellen,2
Strukturelle,2
bewältigung,2
Außenbeziehungen,2
Frauenanteil,2
lesbischen,2
trans*,0
inter*,0
queeren,2
(LGBTIQ*),0
feministischen,2
reproduktiven,2
intersektionale,2
kollektiven,2
Streitkräfte,2
Lehren,2
parlamentarischen,2
Verbänden,2
eingesetzten,2
GSVP,5
Risikoanalyse,2
GSVP-Missionen,2
einstellen,2
begleitet,2
kontrolliert,2
Sicherheitsarchitektur,2
komplexen,2
Normen,2
Fund,2
Sicherheitslage,2
verletzen,2
Exportverbot,2
Nichtverbreitung,2
Pfeiler,2
bi,2
teilzunehmen,2
vorausschauende,2
Förderrichtlinien,2
flexibilisieren,2
Friedenssicherung,2
Konfliktbearbeitung,2
Vermittlerin,2
menschliches,2
geschlechterspezifische,2
Hunger,2
koordinierten,2
wirkungsorientiert,2
substanzieller,2
zukommen,2
Entscheidungsprozesse,2
einbeziehen,3
lokaler,2
Exporte,2
Finanzmitteln,2
Kolonialzeit,2
ehemaligen,2
Auseinandersetzung,2
Taten,2
Klauseln,2
Reflexion,2
Schuldenkrise,2
Schuldenrestrukturierungen,2
transparenter,2
missbraucht,2
Handlungsspielräume,2
formulieren,2
WTO,4
reformieren,2
Bereitschaft,2
Australien,2
Lateinamerikas,2
ASEAN,2
regelbasierten,2
Welthandel,2
einklagbar,2
Neuseeland,2
bestimmen,2
geschädigt,2
handelspolitische,2
Handelspartnern,2
wehren,2
legitimierte,2
Energiechartavertrag,2
bemühen,2
nationales,2
Handels,2
erweiterte,2
OLAF,2
Beitrittskandidaten,2
Beitrittsländer,2
ausgewählten,2
Albanien,2
Nordmazedonien,2
Serbien,2
Organisierter,2
Erinnerungskultur,2
Versuch,2
Völkerrecht,2
Friedensordnung,2
engagiert,2
Wiederaufbaus,2
geschwächt,2
Schwarzen,2
Moldau,2
mutigen,2
ambitionierten,2
Menschenrechtskonvention,2
engeren,2
anstreben,2
Vereinigte,2
wichtiges,2
aggressiven,2
entlassen,2
Folge,2
Urteile,2
Zäsur,2
Reformkräfte,2
Nachbarstaaten,2
Belarus,2
gefälschten,2
belarusischen,2
Freilassung,2
schuldig,2
gezogen,2
autokratischen,2
Religion,2
prägen,2
mundtot,2
friedliches,2
demokratisches,2
wünschen,2
Präsidenten,2
transatlantische,2
benötigt,2
Atlantiks,2
Vertiefung,2
Element,2
Brasilien,2
Verschärfung,2
Institution,2
eigenständigen,2
Stimmen,2
Konzerne,3
attraktiv,2
chinesischer,2
ratifiziert,2
Taiwan,4
Taiwan-Straße,2
menschenrechtliche,2
jüdischen,2
deutschen,2
Palästina,2
palästinensischer,2
verurteilt,2
Palästinenser*innen,2
denjenigen,2
Diaspora,2
Terrorfinanzierung,2
Gelegenheit,2
anschließenden,2
Taliban,2
Einsatzes,2
Ortskräften,2
historisch,2
begreifen,2
Entwicklungspartnerschaften,2
unverzichtbare,2
Visa,3
Verhalten,2
intensiven,2
Mercosur-Abkommen,3
sanktioniert,2
Unterdrückung,2
Grenzkontrollen,2
Meinungsfreiheit,2
Brüssel,2
Gegenteil,2
Verfassung,2
Männer,2
klarer,2
Inneren,2
Grundwerte,2
spalten,2
vielfältiges,2
fliehen,2
Einwanderung,2
Wertvorstellungen,2
Zusammenwachsen,2
aushebeln,2
schwächen,2
Rechtsstaatsinstrumente,2
lebenden,2
begrenzt,2
Debatten,2
Artikel,2
geschehen,2
abgestimmte,2
kooperieren,2
gleichgestellt,2
Steuer,2
vollwertiges,2
Zeug*innen,2
Positionen,2
Abgeordneten,2
Listen,2
Lebensmittelpunkt,2
Heimatregionen,2
ansprechbar,2
Bürger*innenforum,2
Legislatur,2
EBI,3
einberufen,2
Vertragsänderung,2
Schaden,2
EU-Institutionen,2
Fairness,2
hindern,2
Schwangerschaftsabbruch,2
binären,2
Schritten,2
körperliche,2
selbstbestimmte,2
Familienplanung,2
professionelle,2
Gender-Pay-Gap,2
Verabschiedung,2
Müttern,2
häuslicher,2
Aufenthaltsstatus,2
mehrsprachiger,2
Menschenrechtsverletzung,2
menschenunwürdigen,2
Opferrechte,2
Opferschutz,3
Bleiberechte,2
Schutzprogramme,2
Quoten,3
effektives,2
Haushaltsordnung,2
Datenlage,2
Lebensperspektiven,2
Vereinen,2
Glaubens,2
Shoah,2
jüdischer,2
Jüdinnen,2
Juden,2
rechtlicher,2
Strafverfolgungsbehörden,2
Bewerbungsverfahren,2
selbstbestimmten,2
sexuelle,2
stehenden,2
einrichten,2
Regenbogenfamilien,2
Inklusionsunternehmen,2
Definitionen,2
rechtsextremen,2
Kunst,2
Szene,2
Bewegung,2
Grenzüberschreitender,2
erlebbar,2
Bücher,2
Kreativen,2
Ausleihe,2
Hafen,2
Meinungsbildung,2
Besitzverhältnisse,2
Bildern,2
Videos,2
öffentlich-rechtlichen,2
Rundfunks,2
Jahrhunderte,2
Forscher*innen,2
Betrug,2
Katastrophen,2
Arbeitskräfte,2
gewerkschaftliche,2
momentan,2
Asylpolitik,3
